day,interval,flow
2015-09-28,0,330.0
2015-09-28,300,264.0
2015-09-28,600,330.0
2015-09-28,900,180.0
2015-09-28,1200,312.0
2015-09-28,1500,348.0
2015-09-28,1800,360.81356
2015-09-28,2100,312.0
2015-09-28,2400,228.0
2015-09-28,2700,285.0
2015-09-28,3000,300.0
2015-09-28,3300,180.0
2015-09-28,3600,195.0
2015-09-28,3900,180.0
2015-09-28,4200,216.0
2015-09-28,4500,165.0
2015-09-28,4800,270.0
2015-09-28,5100,170.0
2015-09-28,5400,96.0
2015-09-28,5700,144.0
2015-09-28,6000,180.0
2015-09-28,6300,180.0
2015-09-28,6600,180.0
2015-09-28,6900,168.0
2015-09-28,7200,255.0
2015-09-28,7500,165.0
2015-09-28,7800,168.0
2015-09-28,8100,168.0
2015-09-28,8400,192.0
2015-09-28,8700,72.0
2015-09-28,9000,96.0
2015-09-28,9300,120.0
2015-09-28,9600,84.0
2015-09-28,9900,180.0
2015-09-28,10200,96.0
2015-09-28,10500,120.0
2015-09-28,10800,168.0
2015-09-28,11100,150.0
2015-09-28,11400,105.0
2015-09-28,11700,150.0
2015-09-28,12000,90.0
2015-09-28,12300,135.0
2015-09-28,12600,121.271175
2015-09-28,12900,135.0
2015-09-28,13200,156.0
2015-09-28,13500,120.0
2015-09-28,13800,120.0
2015-09-28,14100,72.0
2015-09-28,14400,144.0
2015-09-28,14700,108.0
2015-09-28,15000,132.0
2015-09-28,15300,144.0
2015-09-28,15600,132.0
2015-09-28,15900,132.0
2015-09-28,16200,252.61016
2015-09-28,16500,132.0
2015-09-28,16800,204.0
2015-09-28,17100,96.0
2015-09-28,17400,132.0
2015-09-28,17700,192.0
2015-09-28,18000,240.0
2015-09-28,18300,216.0
2015-09-28,18600,240.0
2015-09-28,18900,264.0
2015-09-28,19200,276.0
2015-09-28,19500,288.0
2015-09-28,19800,254.06896
2015-09-28,20100,210.0
2015-09-28,20400,228.0
2015-09-28,20700,324.0
2015-09-28,21000,252.0
2015-09-28,21300,405.0
2015-09-28,21600,301.8305
2015-09-28,21900,312.0
2015-09-28,22200,396.0
2015-09-28,22500,444.0
2015-09-28,22800,264.0
2015-09-28,23100,420.0
2015-09-28,23400,364.52368
2015-09-28,23700,662.796625
2015-09-28,24000,312.0
2015-09-28,24300,528.0
2015-09-28,24600,420.0
2015-09-28,24900,324.0
2015-09-28,25200,360.0
2015-09-28,25500,564.0
2015-09-28,25800,500.0
2015-09-28,26100,336.0
2015-09-28,26400,420.0
2015-09-28,26700,408.0
2015-09-28,27000,374.48276
2015-09-28,27300,457.22034
2015-09-28,27600,516.0
2015-09-28,27900,336.0
2015-09-28,28200,516.0
2015-09-28,28500,444.0
2015-09-28,28800,552.0
2015-09-28,29100,504.0
2015-09-28,29400,324.0
2015-09-28,29700,564.0
2015-09-28,30000,516.0
2015-09-28,30300,360.0
2015-09-28,30600,360.0
2015-09-28,30900,492.0
2015-09-28,31200,468.0
2015-09-28,31500,397.8305
2015-09-28,31800,516.0
2015-09-28,32100,384.0
2015-09-28,32400,384.0
2015-09-28,32700,372.0
2015-09-28,33000,396.0
2015-09-28,33300,384.0
2015-09-28,33600,408.0
2015-09-28,33900,432.0
2015-09-28,34200,552.0
2015-09-28,34500,450.0
2015-09-28,34800,510.0
2015-09-28,35100,576.0
2015-09-28,35400,468.0
2015-09-28,35700,552.0
2015-09-28,36000,408.0
2015-09-28,36300,348.0
2015-09-28,36600,492.0
2015-09-28,36900,348.0
2015-09-28,37200,384.0
2015-09-28,37500,600.0
2015-09-28,37800,408.0
2015-09-28,38100,456.0
2015-09-28,38400,480.0
2015-09-28,38700,480.0
2015-09-28,39000,510.0
2015-09-28,39300,390.0
2015-09-28,39600,360.0
2015-09-28,39900,530.2373
2015-09-28,40200,312.0
2015-09-28,40500,504.0
2015-09-28,40800,396.0
2015-09-28,41100,444.0
2015-09-28,41400,517.8305
2015-09-28,41700,492.0
2015-09-28,42000,504.0
2015-09-28,42300,540.0
2015-09-28,42600,540.0
2015-09-28,42900,444.0
2015-09-28,43200,300.0
2015-09-28,43500,516.0
2015-09-28,43800,420.0
2015-09-28,44100,496.13792
2015-09-28,44400,495.0
2015-09-28,44700,396.0
2015-09-28,45000,480.0
2015-09-28,45300,480.0
2015-09-28,45600,360.0
2015-09-28,45900,396.0
2015-09-28,46200,528.0
2015-09-28,46500,375.0
2015-09-28,46800,384.0
2015-09-28,47100,372.0
2015-09-28,47400,468.0
2015-09-28,47700,480.0
2015-09-28,48000,468.0
2015-09-28,48300,390.0
2015-09-28,48600,315.0
2015-09-28,48900,450.0
2015-09-28,49200,315.0
2015-09-28,49500,450.0
2015-09-28,49800,465.0
2015-09-28,50100,570.0
2015-09-28,50400,435.0
2015-09-28,50700,330.0
2015-09-28,51000,384.0
2015-09-28,51300,528.0
2015-09-28,51600,420.0
2015-09-28,51900,372.0
2015-09-28,52200,540.0
2015-09-28,52500,465.0
2015-09-28,52800,347.542375
2015-09-28,53100,468.0
2015-09-28,53400,504.0
2015-09-28,53700,516.0
2015-09-28,54000,492.0
2015-09-28,54300,450.0
2015-09-28,54600,390.0
2015-09-28,54900,516.0
2015-09-28,55200,492.0
2015-09-28,55500,504.0
2015-09-28,55800,492.0
2015-09-28,56100,435.0
2015-09-28,56400,517.62712
2015-09-28,56700,396.0
2015-09-28,57000,396.0
2015-09-28,57300,510.0
2015-09-28,57600,375.0
2015-09-28,57900,435.0
2015-09-28,58200,525.0
2015-09-28,58500,456.0
2015-09-28,58800,480.0
2015-09-28,59100,504.0
2015-09-28,59400,456.724125
2015-09-28,59700,504.0
2015-09-28,60000,444.0
2015-09-28,60300,377.796625
2015-09-28,60600,552.0
2015-09-28,60900,540.0
2015-09-28,61200,492.0
2015-09-28,61500,600.0
2015-09-28,61800,528.0
2015-09-28,62100,540.0
2015-09-28,62400,660.0
2015-09-28,62700,576.0
2015-09-28,63000,540.0
2015-09-28,63300,675.0
2015-09-28,63600,552.0
2015-09-28,63900,708.0
2015-09-28,64200,612.0
2015-09-28,64500,516.0
2015-09-28,64800,780.0
2015-09-28,65100,722.2373
2015-09-28,65400,589.42374
2015-09-28,65700,696.0
2015-09-28,66000,684.0
2015-09-28,66300,732.0
