day,interval,flow
2015-09-28,0,825.0
2015-09-28,300,780.0
2015-09-28,600,555.0
2015-09-28,900,840.0
2015-09-28,1200,540.0
2015-09-28,1500,684.0
2015-09-28,1800,409.22033
2015-09-28,2100,624.0
2015-09-28,2400,744.0
2015-09-28,2700,525.0
2015-09-28,3000,465.0
2015-09-28,3300,630.0
2015-09-28,3600,600.0
2015-09-28,3900,680.0
2015-09-28,4200,684.0
2015-09-28,4500,615.0
2015-09-28,4800,375.0
2015-09-28,5100,430.0
2015-09-28,5400,480.0
2015-09-28,5700,552.0
2015-09-28,6000,528.0
2015-09-28,6300,384.0
2015-09-28,6600,348.0
2015-09-28,6900,492.0
2015-09-28,7200,465.0
2015-09-28,7500,375.0
2015-09-28,7800,348.0
2015-09-28,8100,468.0
2015-09-28,8400,372.0
2015-09-28,8700,336.0
2015-09-28,9000,396.0
2015-09-28,9300,336.0
2015-09-28,9600,348.0
2015-09-28,9900,492.0
2015-09-28,10200,468.0
2015-09-28,10500,405.0
2015-09-28,10800,324.0
2015-09-28,11100,390.0
2015-09-28,11400,330.0
2015-09-28,11700,360.0
2015-09-28,12000,300.0
2015-09-28,12300,390.0
2015-09-28,12600,377.542375
2015-09-28,12900,390.0
2015-09-28,13200,300.0
2015-09-28,13500,456.0
2015-09-28,13800,360.0
2015-09-28,14100,408.0
2015-09-28,14400,240.0
2015-09-28,14700,348.0
2015-09-28,15000,408.0
2015-09-28,15300,288.0
2015-09-28,15600,516.0
2015-09-28,15900,432.0
2015-09-28,16200,638.0338899999999
2015-09-28,16500,336.0
2015-09-28,16800,516.0
2015-09-28,17100,504.0
2015-09-28,17400,696.0
2015-09-28,17700,480.0
2015-09-28,18000,672.0
2015-09-28,18300,504.0
2015-09-28,18600,690.0
2015-09-28,18900,348.0
2015-09-28,19200,624.0
2015-09-28,19500,528.0
2015-09-28,19800,627.72414
2015-09-28,20100,780.0
2015-09-28,20400,612.0
2015-09-28,20700,792.0
2015-09-28,21000,780.0
2015-09-28,21300,795.0
2015-09-28,21600,768.81356
2015-09-28,21900,900.0
2015-09-28,22200,1092.0
2015-09-28,22500,792.0
2015-09-28,22800,1212.0
2015-09-28,23100,1200.0
2015-09-28,23400,1076.633554
2015-09-28,23700,1220.08475
2015-09-28,24000,1176.0
2015-09-28,24300,1464.0
2015-09-28,24600,1428.0
2015-09-28,24900,1128.0
2015-09-28,25200,1212.0
2015-09-28,25500,1176.0
2015-09-28,25800,1460.0
2015-09-28,26100,1512.0
2015-09-28,26400,1464.0
2015-09-28,26700,1272.0
2015-09-28,27000,1332.4137799999999
2015-09-28,27300,1541.89832
2015-09-28,27600,1704.0
2015-09-28,27900,1596.0
2015-09-28,28200,1440.0
2015-09-28,28500,1524.0
2015-09-28,28800,1584.0
2015-09-28,29100,1596.0
2015-09-28,29400,2028.0
2015-09-28,29700,1692.0
2015-09-28,30000,1416.0
2015-09-28,30300,2148.0
2015-09-28,30600,1572.0
2015-09-28,30900,1620.0
2015-09-28,31200,1800.0
2015-09-28,31500,1806.50846
2015-09-28,31800,1752.0
2015-09-28,32100,1560.0
2015-09-28,32400,1620.0
2015-09-28,32700,1572.0
2015-09-28,33000,1380.0
2015-09-28,33300,1344.0
2015-09-28,33600,1188.0
2015-09-28,33900,1404.0
2015-09-28,34200,1416.0
2015-09-28,34500,1410.0
2015-09-28,34800,1320.0
2015-09-28,35100,1344.0
2015-09-28,35400,1308.0
2015-09-28,35700,1272.0
2015-09-28,36000,1296.0
2015-09-28,36300,1464.0
2015-09-28,36600,1320.0
2015-09-28,36900,1344.0
2015-09-28,37200,1452.0
2015-09-28,37500,1008.0
2015-09-28,37800,1380.0
2015-09-28,38100,1176.0
2015-09-28,38400,1170.0
2015-09-28,38700,1188.0
2015-09-28,39000,1095.0
2015-09-28,39300,1020.0
2015-09-28,39600,1185.0
2015-09-28,39900,1228.27119
2015-09-28,40200,1044.0
2015-09-28,40500,1356.0
2015-09-28,40800,1524.0
2015-09-28,41100,1164.0
2015-09-28,41400,1191.66102
2015-09-28,41700,960.0
2015-09-28,42000,972.0
2015-09-28,42300,1164.0
2015-09-28,42600,1140.0
2015-09-28,42900,1140.0
2015-09-28,43200,1080.0
2015-09-28,43500,1008.0
2015-09-28,43800,1296.0
2015-09-28,44100,1450.34482
2015-09-28,44400,1410.0
2015-09-28,44700,1164.0
2015-09-28,45000,1050.0
2015-09-28,45300,1140.0
2015-09-28,45600,1275.0
2015-09-28,45900,1152.0
2015-09-28,46200,960.0
2015-09-28,46500,1170.0
2015-09-28,46800,1056.0
2015-09-28,47100,1092.0
2015-09-28,47400,1152.0
2015-09-28,47700,1416.0
2015-09-28,48000,1260.0
2015-09-28,48300,990.0
2015-09-28,48600,870.0
2015-09-28,48900,1200.0
2015-09-28,49200,1065.0
2015-09-28,49500,855.0
2015-09-28,49800,1170.0
2015-09-28,50100,1020.0
2015-09-28,50400,900.0
2015-09-28,50700,855.0
2015-09-28,51000,1128.0
2015-09-28,51300,984.0
2015-09-28,51600,1128.0
2015-09-28,51900,1164.0
2015-09-28,52200,945.0
2015-09-28,52500,1020.0
2015-09-28,52800,1054.8305125
2015-09-28,53100,1044.0
2015-09-28,53400,1056.0
2015-09-28,53700,1296.0
2015-09-28,54000,1020.0
2015-09-28,54300,1200.0
2015-09-28,54600,1020.0
2015-09-28,54900,1272.0
2015-09-28,55200,924.0
2015-09-28,55500,876.0
2015-09-28,55800,1116.0
2015-09-28,56100,1020.0
2015-09-28,56400,1107.8644199999999
2015-09-28,56700,1116.0
2015-09-28,57000,996.0
2015-09-28,57300,1035.0
2015-09-28,57600,1215.0
2015-09-28,57900,795.0
2015-09-28,58200,1125.0
2015-09-28,58500,1044.0
2015-09-28,58800,1128.0
2015-09-28,59100,1008.0
2015-09-28,59400,996.2069
2015-09-28,59700,1104.0
2015-09-28,60000,816.0
2015-09-28,60300,1068.305075
2015-09-28,60600,1464.0
2015-09-28,60900,1095.0
2015-09-28,61200,1464.0
2015-09-28,61500,1260.0
2015-09-28,61800,1164.0
2015-09-28,62100,1110.0
2015-09-28,62400,1308.0
2015-09-28,62700,912.0
2015-09-28,63000,1248.0
2015-09-28,63300,1230.0
2015-09-28,63600,1296.0
2015-09-28,63900,1392.0
2015-09-28,64200,1224.0
2015-09-28,64500,1296.0
2015-09-28,64800,1404.0
2015-09-28,65100,1433.6949200000001
2015-09-28,65400,1252.27118
2015-09-28,65700,1572.0
2015-09-28,66000,1524.0
2015-09-28,66300,1332.0
2015-09-28,66600,1315.44828
2015-09-28,66900,1272.0
2015-09-28,67200,1368.0
2015-09-28,67500,1395.0
2015-09-28,67800,1404.0
2015-09-28,68100,1344.0
2015-09-28,68400,936.0
2015-09-28,68700,864.0
2015-09-28,69000,1080.0
2015-09-28,69300,1356.0
2015-09-28,69600,1176.0
2015-09-28,69900,984.0
2015-09-28,70200,956.8965499999999
2015-09-28,70500,36.0
2015-09-28,70800,280.0
2015-09-28,71100,760.0
2015-09-28,71400,855.0
2015-09-28,71700,1152.0
2015-09-28,72000,1185.0
2015-09-28,72300,900.0
2015-09-28,72600,1080.0
2015-09-28,72900,1068.0
2015-09-28,73200,1365.0
2015-09-28,73500,1224.0
2015-09-28,73800,1248.0
2015-09-28,74100,1188.0
2015-09-28,74400,1140.0
2015-09-28,74700,1310.0
2015-09-28,75000,1005.0
2015-09-28,75300,1130.0
2015-09-28,75600,1020.0
2015-09-28,75900,990.0
2015-09-28,76200,1110.0
2015-09-28,76500,970.0
2015-09-28,76800,1116.0
2015-09-28,77100,1224.0
2015-09-28,77400,1041.7241425
2015-09-28,77700,1140.0
2015-09-28,78000,1176.0
2015-09-28,78300,1350.0
2015-09-28,78600,1395.0
2015-09-28,78900,1320.0
2015-09-28,79200,1290.0
2015-09-28,79500,1116.0
2015-09-28,79800,1008.0
2015-09-28,80100,1290.0
2015-09-28,80400,1120.0
2015-09-28,80700,1200.0
2015-09-28,81000,1221.93104
2015-09-28,81300,1296.0
2015-09-28,81600,975.0
2015-09-28,81900,996.0
2015-09-28,82200,1224.0
2015-09-28,82500,1080.0
2015-09-28,82800,1040.0
2015-09-28,83100,1035.0
2015-09-28,83400,1104.0
2015-09-28,83700,1128.0
2015-09-28,84000,1008.0
2015-09-28,84300,1185.0
2015-09-28,84600,1191.4576399999999
2015-09-28,84900,1128.0
2015-09-28,85200,1200.0
2015-09-28,85500,1080.0
2015-09-28,85800,888.0
2015-09-28,86100,1128.0
