day,interval,flow
2015-05-23,0,1320.0
2015-05-23,300,1284.0
2015-05-23,600,1320.0
2015-05-23,900,1296.0
2015-05-23,1200,1392.0
2015-05-23,1500,1200.0
2015-05-23,1800,1531.11862
2015-05-23,2100,1106.44067
2015-05-23,2400,1164.0
2015-05-23,2700,1283.14412
2015-05-23,3000,1200.0
2015-05-23,3300,1464.0
2015-05-23,3600,1188.0
2015-05-23,3900,1200.0
2015-05-23,4200,1380.0
2015-05-23,4500,1260.0
2015-05-23,4800,1140.0
2015-05-23,5100,1068.0
2015-05-23,5400,948.0
2015-05-23,5700,972.0
2015-05-23,6000,1020.0
2015-05-23,6300,1020.0
2015-05-23,6600,1068.0
2015-05-23,6900,996.0
2015-05-23,7200,888.0
2015-05-23,7500,1020.0
2015-05-23,7800,1044.0
2015-05-23,8100,756.0
2015-05-23,8400,852.0
2015-05-23,8700,936.0
2015-05-23,9000,852.0
2015-05-23,9300,624.0
2015-05-23,9600,732.0
2015-05-23,9900,840.0
2015-05-23,10200,528.0
2015-05-23,10500,684.0
2015-05-23,10800,684.0
2015-05-23,11100,732.0
2015-05-23,11400,792.0
2015-05-23,11700,840.0
2015-05-23,12000,768.0
2015-05-23,12300,720.0
2015-05-23,12600,722.64407
2015-05-23,12900,768.0
2015-05-23,13200,672.0
2015-05-23,13500,468.0
2015-05-23,13800,624.0
2015-05-23,14100,480.0
2015-05-23,14400,696.0
2015-05-23,14700,708.0
2015-05-23,15000,552.0
2015-05-23,15300,516.0
2015-05-23,15600,732.0
2015-05-23,15900,672.0
2015-05-23,16200,720.0
2015-05-23,16500,576.0
2015-05-23,16800,624.0
2015-05-23,17100,696.0
2015-05-23,17400,552.0
2015-05-23,17700,816.0
2015-05-23,18000,456.0
2015-05-23,18300,612.0
2015-05-23,18600,468.0
2015-05-23,18900,684.0
2015-05-23,19200,708.0
2015-05-23,19500,612.0
2015-05-23,19800,636.0
2015-05-23,20100,852.0
2015-05-23,20400,588.0
2015-05-23,20700,1080.0
2015-05-23,21000,528.0
2015-05-23,21300,576.0
2015-05-23,21600,672.0
2015-05-23,21900,816.0
2015-05-23,22200,1068.0
2015-05-23,22500,732.0
2015-05-23,22800,1152.0
2015-05-23,23100,960.0
2015-05-23,23400,843.25423
2015-05-23,23700,1080.0
2015-05-23,24000,924.0
2015-05-23,24300,1212.0
2015-05-23,24600,708.0
2015-05-23,24900,948.0
2015-05-23,25200,1224.0
2015-05-23,25500,1083.4576200000001
2015-05-23,25800,1128.0
2015-05-23,26100,948.0
2015-05-23,26400,1116.0
2015-05-23,26700,972.0
2015-05-23,27000,924.0
2015-05-23,27300,1212.0
2015-05-23,27600,1224.0
2015-05-23,27900,1176.0
2015-05-23,28200,1176.0
2015-05-23,28500,1140.0
2015-05-23,28800,1428.0
2015-05-23,29100,1140.0
2015-05-23,29400,1284.0
2015-05-23,29700,1308.0
2015-05-23,30000,1188.0
2015-05-23,30300,1164.0
2015-05-23,30600,1284.0
2015-05-23,30900,1248.0
2015-05-23,31200,1284.0
2015-05-23,31500,1236.0
2015-05-23,31800,1212.0
2015-05-23,32100,1068.0
2015-05-23,32400,1164.0
2015-05-23,32700,1320.0
2015-05-23,33000,1236.0
2015-05-23,33300,1080.0
2015-05-23,33600,1200.0
2015-05-23,33900,1188.0
2015-05-23,34200,1288.2712000000001
2015-05-23,34500,1116.0
2015-05-23,34800,1320.0
2015-05-23,35100,648.0
2015-05-23,35400,456.0
2015-05-23,35700,564.0
2015-05-23,36000,684.0
2015-05-23,36300,936.0
2015-05-23,36600,804.0
2015-05-23,36900,648.0
2015-05-23,37200,696.0
2015-05-23,37500,792.0
