day,interval,flow
2015-05-21,0,1188.0
2015-05-21,300,1044.0
2015-05-21,600,768.0
2015-05-21,900,984.0
2015-05-21,1200,828.0
2015-05-21,1500,696.0
2015-05-21,1800,957.88234
2015-05-21,2100,806.84746
2015-05-21,2400,840.0
2015-05-21,2700,775.384608
2015-05-21,3000,744.0
2015-05-21,3300,624.0
2015-05-21,3600,660.0
2015-05-21,3900,840.0
2015-05-21,4200,540.0
2015-05-21,4500,600.0
2015-05-21,4800,444.0
2015-05-21,5100,384.0
2015-05-21,5400,433.241374
2015-05-21,5700,360.0
2015-05-21,6000,624.0
2015-05-21,6300,612.0
2015-05-21,6600,300.0
2015-05-21,6900,396.0
2015-05-21,7200,312.0
2015-05-21,7500,408.0
2015-05-21,7800,216.0
2015-05-21,8100,300.0
2015-05-21,8400,336.0
2015-05-21,8700,480.0
2015-05-21,9000,216.81356
2015-05-21,9300,384.0
2015-05-21,9600,192.0
2015-05-21,9900,336.0
2015-05-21,10200,228.0
2015-05-21,10500,276.0
2015-05-21,10800,336.0
2015-05-21,11100,408.0
2015-05-21,11400,348.0
2015-05-21,11700,228.0
2015-05-21,12000,252.0
2015-05-21,12300,336.0
2015-05-21,12600,132.0
2015-05-21,12900,312.0
2015-05-21,13200,204.0
2015-05-21,13500,300.0
2015-05-21,13800,228.0
2015-05-21,14100,384.0
2015-05-21,14400,348.0
2015-05-21,14700,324.0
2015-05-21,15000,528.0
2015-05-21,15300,264.0
2015-05-21,15600,264.0
2015-05-21,15900,492.0
2015-05-21,16200,324.0
2015-05-21,16500,300.0
2015-05-21,16800,276.0
2015-05-21,17100,372.0
2015-05-21,17400,144.0
2015-05-21,17700,252.0
2015-05-21,18000,264.0
2015-05-21,18300,372.0
2015-05-21,18600,480.0
2015-05-21,18900,276.0
2015-05-21,19200,432.0
2015-05-21,19500,276.0
2015-05-21,19800,444.0
2015-05-21,20100,360.0
2015-05-21,20400,432.0
2015-05-21,20700,612.0
2015-05-21,21000,492.0
2015-05-21,21300,624.0
2015-05-21,21600,530.64405
