day,interval,flow
2015-05-21,0,636.0
2015-05-21,300,504.0
2015-05-21,600,480.0
2015-05-21,900,408.0
2015-05-21,1200,720.0
2015-05-21,1500,600.0
2015-05-21,1800,544.94118
2015-05-21,2100,518.44068
2015-05-21,2400,444.0
2015-05-21,2700,487.38462
2015-05-21,3000,612.0
2015-05-21,3300,408.0
2015-05-21,3600,468.0
2015-05-21,3900,408.0
2015-05-21,4200,504.0
2015-05-21,4500,252.0
2015-05-21,4800,288.0
2015-05-21,5100,336.0
2015-05-21,5400,314.48276
2015-05-21,5700,408.0
2015-05-21,6000,324.0
2015-05-21,6300,228.0
2015-05-21,6600,228.0
2015-05-21,6900,228.0
2015-05-21,7200,276.0
2015-05-21,7500,240.0
2015-05-21,7800,168.0
2015-05-21,8100,252.0
2015-05-21,8400,288.0
2015-05-21,8700,156.0
2015-05-21,9000,240.20339
2015-05-21,9300,216.0
2015-05-21,9600,216.0
2015-05-21,9900,240.0
2015-05-21,10200,240.0
2015-05-21,10500,192.0
2015-05-21,10800,240.0
2015-05-21,11100,168.0
2015-05-21,11400,180.0
2015-05-21,11700,264.0
2015-05-21,12000,192.0
2015-05-21,12300,168.0
2015-05-21,12600,132.0
2015-05-21,12900,228.0
2015-05-21,13200,192.0
2015-05-21,13500,168.0
2015-05-21,13800,216.0
2015-05-21,14100,144.0
2015-05-21,14400,228.0
2015-05-21,14700,168.0
2015-05-21,15000,240.0
2015-05-21,15300,228.0
2015-05-21,15600,132.0
2015-05-21,15900,300.0
2015-05-21,16200,168.0
2015-05-21,16500,216.0
2015-05-21,16800,324.0
2015-05-21,17100,204.0
2015-05-21,17400,144.0
2015-05-21,17700,228.0
2015-05-21,18000,192.0
2015-05-21,18300,180.0
2015-05-21,18600,288.0
2015-05-21,18900,228.0
2015-05-21,19200,264.0
2015-05-21,19500,336.0
2015-05-21,19800,384.0
2015-05-21,20100,288.0
2015-05-21,20400,444.0
2015-05-21,20700,432.0
2015-05-21,21000,504.0
2015-05-21,21300,384.0
2015-05-21,21600,421.62712
2015-05-21,21900,444.0
2015-05-21,22200,469.22034
2015-05-21,22500,456.0
2015-05-21,22800,552.0
2015-05-21,23100,672.0
