day,interval,flow
2016-05-20,0,658.8675
2016-05-20,300,588.0
2016-05-20,600,720.0
2016-05-20,900,540.0
2016-05-20,1200,465.0
2016-05-20,1500,615.0
2016-05-20,1800,560.593225
2016-05-20,2100,498.3576875
2016-05-20,2400,460.0
2016-05-20,2700,705.0
2016-05-20,3000,540.0
2016-05-20,3300,555.0
2016-05-20,3600,525.0
2016-05-20,3900,690.0
2016-05-20,4200,570.0
2016-05-20,4500,300.0
2016-05-20,4800,330.0
2016-05-20,5100,450.0
2016-05-20,5400,437.796625
2016-05-20,6000,330.0
2016-05-20,6300,320.0
2016-05-20,6600,390.0
2016-05-20,6900,345.0
2016-05-20,7200,315.0
2016-05-20,7500,345.0
2016-05-20,7800,270.0
2016-05-20,8100,240.0
2016-05-20,8400,375.0
2016-05-20,8700,450.0
2016-05-20,9000,316.271175
2016-05-20,9300,345.0
2016-05-20,9600,270.0
2016-05-20,9900,255.0
2016-05-20,10200,255.0
2016-05-20,10500,270.0
2016-05-20,10800,390.0
2016-05-20,11100,270.0
2016-05-20,11400,280.0
2016-05-20,11700,225.0
2016-05-20,12000,140.0
2016-05-20,12300,225.0
2016-05-20,12600,180.5172425
2016-05-20,12900,255.0
2016-05-20,13200,285.0
2016-05-20,13500,240.0
2016-05-20,13800,150.0
2016-05-20,14100,195.0
2016-05-20,14400,210.0
2016-05-20,14700,150.0
2016-05-20,15000,330.0
2016-05-20,15300,210.0
2016-05-20,15600,405.0
2016-05-20,15900,200.0
2016-05-20,16200,272.068975
2016-05-20,16500,195.0
2016-05-20,16800,390.0
2016-05-20,17100,225.0
2016-05-20,17400,210.0
2016-05-20,17700,240.0
2016-05-20,18000,210.0
2016-05-20,18300,315.0
2016-05-20,18600,100.0
2016-05-20,18900,255.0
2016-05-20,19200,330.0
2016-05-20,19500,330.0
2016-05-20,19800,332.068975
2016-05-20,20100,255.0
2016-05-20,20400,240.0
2016-05-20,20700,346.525425
2016-05-20,21000,360.0
2016-05-20,21300,260.0
2016-05-20,21600,255.0
2016-05-20,21900,420.0
2016-05-20,22200,420.0
2016-05-20,22500,450.7627
2016-05-20,22800,422.542375
2016-05-20,23100,556.779675
2016-05-20,23400,602.542375
2016-05-20,23700,607.118625
2016-05-20,24000,589.57625
2016-05-20,24300,600.0
2016-05-20,24600,527.0339
2016-05-20,24900,570.0
2016-05-20,25200,465.0
2016-05-20,25500,630.0
2016-05-20,25800,735.0
2016-05-20,26100,585.0
2016-05-20,26400,511.779675
2016-05-20,26700,645.0
2016-05-20,27000,647.068975
2016-05-20,27300,690.0
2016-05-20,27600,632.796625
2016-05-20,27900,600.0
2016-05-20,28200,620.0
2016-05-20,28500,562.372875
2016-05-20,28800,660.0
2016-05-20,29100,960.0
2016-05-20,29400,690.0
2016-05-20,29700,855.0
2016-05-20,30000,960.0
2016-05-20,30300,827.0339
2016-05-20,30600,1000.0
2016-05-20,30900,795.0
2016-05-20,31200,662.711866666667
2016-05-20,31500,887.288125
2016-05-20,31800,815.5932
2016-05-20,32100,945.0
2016-05-20,32400,770.08475
2016-05-20,32700,750.0
2016-05-20,33000,747.470975
2016-05-20,33300,840.0
2016-05-20,33600,762.6315
2016-05-20,33900,495.0
2016-05-20,34200,376.551725
2016-05-20,34500,725.423733333333
2016-05-20,34800,420.0
2016-05-20,35100,645.0
2016-05-20,35400,606.101675
2016-05-20,35700,555.0
2016-05-20,36000,435.0
2016-05-20,36300,690.0
2016-05-20,36600,555.0
2016-05-20,36900,768.559325
2016-05-20,37200,645.0
2016-05-20,37500,585.0
2016-05-20,37800,634.8305
2016-05-20,38100,735.0
2016-05-20,38400,465.0
2016-05-20,38700,630.0
2016-05-20,39000,600.0
2016-05-20,39300,15.0
2016-05-20,39600,540.0
2016-05-20,39900,540.0
2016-05-20,40200,700.0
2016-05-20,40500,810.508433333333
2016-05-20,40800,630.0
2016-05-20,41100,270.0
2016-05-20,41400,439.655175
2016-05-20,41700,270.0
2016-05-20,42000,210.0
2016-05-20,42300,555.0
2016-05-20,42600,393.305075
2016-05-20,42900,720.0
2016-05-20,43200,690.0
2016-05-20,43500,840.0
2016-05-20,43800,678.05085
2016-05-20,44100,525.0
2016-05-20,44400,720.0
2016-05-20,44700,600.0
2016-05-20,45000,667.372875
2016-05-20,45300,704.745766666667
2016-05-20,45600,765.0
2016-05-20,45900,780.0
2016-05-20,46200,675.0
2016-05-20,46500,735.0
2016-05-20,46800,690.0
2016-05-20,47100,570.0
2016-05-20,47400,660.0
2016-05-20,47700,510.0
2016-05-20,48000,465.0
2016-05-20,48300,600.0
2016-05-20,48600,531.724125
2016-05-20,48900,660.0
2016-05-20,49200,510.0
2016-05-20,49500,843.81355
2016-05-20,49800,436.525425
2016-05-20,50100,570.0
2016-05-20,50400,585.0
2016-05-20,50700,645.0
2016-05-20,51000,677.288125
2016-05-20,51300,555.0
2016-05-20,51600,705.0
2016-05-20,51900,602.288125
2016-05-20,52200,724.0678
2016-05-20,52500,645.0
2016-05-20,52800,615.0
2016-05-20,53100,780.0
2016-05-20,53400,645.0
2016-05-20,53700,529.322
2016-05-20,54000,630.0
2016-05-20,54300,810.0
2016-05-20,54600,660.0
2016-05-20,54900,690.0
2016-05-20,55200,660.0
2016-05-20,55500,630.0
2016-05-20,55800,624.31025
2016-05-20,56100,690.0
2016-05-20,56400,585.0
2016-05-20,56700,795.0
2016-05-20,57000,662.288125
2016-05-20,57300,664.0678
2016-05-20,57600,556.779675
2016-05-20,57900,850.537675
2016-05-20,58200,920.0
2016-05-20,58500,720.0
2016-05-20,58800,570.0
2016-05-20,59100,705.0
2016-05-20,59400,421.525425
2016-05-20,59700,273.1579
2016-05-20,60000,390.0
2016-05-20,60300,405.0
2016-05-20,60600,285.0
2016-05-20,60900,555.0
2016-05-20,61200,675.0
2016-05-20,61500,555.0
2016-05-20,61800,390.0
2016-05-20,62100,210.0
2016-05-20,62400,380.0
2016-05-20,62700,390.0
2016-05-20,63000,362.0339
2016-05-20,63300,315.0
2016-05-20,63600,240.0
2016-05-20,63900,345.0
2016-05-20,64200,330.0
2016-05-20,64500,300.0
2016-05-20,64800,390.0
2016-05-20,65100,480.0
2016-05-20,65400,636.2069
2016-05-20,65700,435.0
2016-05-20,66000,270.0
2016-05-20,66300,435.0
2016-05-20,66600,287.068975
2016-05-20,66900,450.0
2016-05-20,67200,630.0
2016-05-20,67500,600.0
2016-05-20,67800,645.0
