day,interval,flow
2015-09-30,0,345.0
2015-09-30,300,285.0
2015-09-30,600,315.0
2015-09-30,900,240.0
2015-09-30,1200,330.0
2015-09-30,1500,240.0
2015-09-30,1800,240.0
2015-09-30,2100,136.5517175
2015-09-30,2400,240.0
2015-09-30,2700,165.0
2015-09-30,3000,195.0
2015-09-30,3300,150.0
2015-09-30,3600,120.0
2015-09-30,3900,165.0
2015-09-30,4200,195.0
2015-09-30,4500,90.0
2015-09-30,4800,150.0
2015-09-30,5100,75.0
2015-09-30,5400,120.0
2015-09-30,5700,75.0
2015-09-30,6000,225.0
2015-09-30,6300,165.0
2015-09-30,6600,60.0
2015-09-30,6900,75.0
2015-09-30,7200,75.0
2015-09-30,7500,75.0
2015-09-30,7800,105.0
2015-09-30,8100,15.0
2015-09-30,8400,90.0
2015-09-30,8700,60.0
2015-09-30,9000,75.0
2015-09-30,9300,75.0
2015-09-30,9600,105.0
2015-09-30,9900,60.0
2015-09-30,10200,90.0
2015-09-30,10500,60.0
2015-09-30,10800,90.0
2015-09-30,11100,60.0
2015-09-30,11400,150.0
2015-09-30,11700,60.0
2015-09-30,12000,75.0
2015-09-30,12300,90.0
2015-09-30,12600,76.034475
2015-09-30,12900,60.0
2015-09-30,13200,108.0
2015-09-30,13500,75.0
2015-09-30,13800,30.0
2015-09-30,14100,75.0
2015-09-30,14400,75.0
2015-09-30,14700,60.0
2015-09-30,15000,105.0
2015-09-30,15300,84.0
2015-09-30,15600,165.0
2015-09-30,15900,180.0
2015-09-30,16200,135.0
2015-09-30,16500,150.0
2015-09-30,16800,105.0
2015-09-30,17100,150.0
2015-09-30,17400,105.0
2015-09-30,17700,165.0
2015-09-30,18000,255.0
2015-09-30,18300,105.0
2015-09-30,18600,135.0
2015-09-30,18900,210.0
2015-09-30,19200,210.0
2015-09-30,19500,300.0
2015-09-30,19800,105.0
2015-09-30,20100,210.0
2015-09-30,20400,375.0
2015-09-30,20700,105.0
2015-09-30,21000,375.0
2015-09-30,21300,255.0
2015-09-30,21600,330.0
2015-09-30,21900,510.0
2015-09-30,22200,210.0
2015-09-30,22500,300.0
2015-09-30,22800,480.0
2015-09-30,23100,420.0
2015-09-30,23400,391.271175
2015-09-30,23700,345.0
2015-09-30,24000,390.0
2015-09-30,24300,645.0
2015-09-30,24600,450.0
2015-09-30,24900,546.2069
2015-09-30,25200,690.0
2015-09-30,25500,450.0
2015-09-30,25800,518.48276
2015-09-30,26100,601.8305
2015-09-30,26400,792.0
2015-09-30,26700,768.0
2015-09-30,27000,555.0
2015-09-30,27300,723.661
2015-09-30,27600,795.8644
2015-09-30,27900,756.0
2015-09-30,28200,792.0
2015-09-30,28500,756.0
2015-09-30,28800,696.0
2015-09-30,29100,852.0
2015-09-30,29400,807.25424
2015-09-30,29700,684.0
2015-09-30,30000,771.05084
2015-09-30,30300,768.0
2015-09-30,30600,818.64406
2015-09-30,30900,804.0
2015-09-30,31200,672.0
2015-09-30,31500,648.0
2015-09-30,31800,852.0
2015-09-30,32100,672.0
2015-09-30,32400,708.0
2015-09-30,32700,672.0
2015-09-30,33000,590.89656
2015-09-30,33300,816.0
2015-09-30,33600,636.0
2015-09-30,33900,723.728833333333
2015-09-30,34800,630.0
2015-09-30,35100,600.0
2015-09-30,35400,732.0
2015-09-30,35700,720.0
2015-09-30,36000,612.0
2015-09-30,36300,516.0
2015-09-30,36600,600.0
2015-09-30,36900,588.0
2015-09-30,37200,528.0
2015-09-30,37500,684.0
2015-09-30,37800,648.0
2015-09-30,38100,732.0
2015-09-30,38400,780.0
2015-09-30,38700,615.0
2015-09-30,39000,512.288125
2015-09-30,39300,615.0
2015-09-30,39600,675.0
2015-09-30,39900,917.796625
2015-09-30,40200,615.0
2015-09-30,40500,576.0
2015-09-30,40800,585.0
2015-09-30,41100,677.796625
2015-09-30,41400,542.0339
2015-09-30,41700,540.0
2015-09-30,42000,855.0
2015-09-30,42300,510.0
2015-09-30,42600,555.0
2015-09-30,42900,405.0
2015-09-30,43200,510.0
