day,interval,flow
2015-09-30,0,270.0
2015-09-30,300,480.0
2015-09-30,600,450.0
2015-09-30,900,336.0
2015-09-30,1200,570.0
2015-09-30,1500,360.0
2015-09-30,1800,240.0
2015-09-30,2100,319.655175
2015-09-30,2400,255.0
2015-09-30,2700,255.0
2015-09-30,3000,255.0
2015-09-30,3300,300.0
2015-09-30,3600,210.0
2015-09-30,3900,270.0
2015-09-30,4200,210.0
2015-09-30,4500,105.0
2015-09-30,4800,255.0
2015-09-30,5100,210.0
2015-09-30,5400,210.0
2015-09-30,5700,240.0
2015-09-30,6000,180.0
2015-09-30,6300,165.0
2015-09-30,6600,135.0
2015-09-30,6900,180.0
2015-09-30,7200,75.0
2015-09-30,7500,75.0
2015-09-30,7800,135.0
2015-09-30,8100,165.0
2015-09-30,8400,90.0
2015-09-30,8700,90.0
2015-09-30,9000,135.0
2015-09-30,9300,105.0
2015-09-30,9600,75.0
2015-09-30,9900,165.0
2015-09-30,10200,135.0
2015-09-30,10500,105.0
2015-09-30,10800,165.0
2015-09-30,11100,75.0
2015-09-30,11400,90.0
2015-09-30,11700,135.0
2015-09-30,12000,165.0
2015-09-30,12300,120.0
2015-09-30,12600,107.5862
2015-09-30,12900,60.0
2015-09-30,13200,120.0
2015-09-30,13500,45.0
2015-09-30,13800,105.0
2015-09-30,14100,120.0
2015-09-30,14400,165.0
2015-09-30,14700,150.0
2015-09-30,15000,135.0
2015-09-30,15300,180.0
2015-09-30,15600,165.0
2015-09-30,15900,75.0
2015-09-30,16200,165.0
2015-09-30,16500,120.0
2015-09-30,16800,90.0
2015-09-30,17100,75.0
2015-09-30,17400,150.0
2015-09-30,17700,150.0
2015-09-30,18000,60.0
2015-09-30,18300,195.0
2015-09-30,18600,90.0
2015-09-30,18900,120.0
2015-09-30,19200,120.0
2015-09-30,19500,90.0
2015-09-30,19800,210.0
2015-09-30,20100,90.0
2015-09-30,20400,120.0
2015-09-30,20700,150.0
2015-09-30,21000,135.0
2015-09-30,21300,150.0
2015-09-30,21600,285.0
2015-09-30,21900,240.0
2015-09-30,22200,375.0
2015-09-30,22500,285.0
2015-09-30,22800,405.0
2015-09-30,23100,450.0
2015-09-30,23400,375.7627
2015-09-30,23700,645.0
2015-09-30,24000,315.0
2015-09-30,24300,555.0
2015-09-30,24600,540.0
2015-09-30,24900,512.068975
2015-09-30,25200,585.0
2015-09-30,25500,525.0
2015-09-30,25800,590.48276
2015-09-30,26100,397.22034
2015-09-30,26400,516.0
2015-09-30,26700,660.0
2015-09-30,27000,600.0
2015-09-30,27300,469.01694
2015-09-30,27600,421.22034
2015-09-30,27900,468.0
2015-09-30,28200,480.0
2015-09-30,28500,372.0
2015-09-30,28800,480.0
2015-09-30,29100,336.0
2015-09-30,29400,337.01694
2015-09-30,29700,480.0
2015-09-30,30000,313.01694
2015-09-30,30300,240.0
2015-09-30,30600,396.40678
2015-09-30,30900,444.0
2015-09-30,31200,324.0
2015-09-30,31500,432.0
2015-09-30,31800,444.0
2015-09-30,32100,228.0
2015-09-30,32400,420.0
2015-09-30,32700,396.0
2015-09-30,33000,328.13792
2015-09-30,33300,384.0
2015-09-30,33600,396.0
2015-09-30,33900,160.338983333333
2015-09-30,34800,480.0
2015-09-30,35100,396.0
2015-09-30,35400,348.0
2015-09-30,35700,360.0
2015-09-30,36000,324.0
2015-09-30,36300,408.0
2015-09-30,36600,396.0
2015-09-30,36900,276.0
2015-09-30,37200,504.0
2015-09-30,37500,504.0
2015-09-30,37800,384.0
2015-09-30,38100,624.0
2015-09-30,38400,492.0
2015-09-30,38700,315.0
2015-09-30,39000,286.01695
2015-09-30,39300,600.0
2015-09-30,39600,510.0
2015-09-30,39900,377.288125
2015-09-30,40200,450.0
2015-09-30,40500,396.0
2015-09-30,40800,345.0
2015-09-30,41100,360.2542375
2015-09-30,41400,541.779675
2015-09-30,41700,600.0
2015-09-30,42000,375.0
2015-09-30,42300,630.0
2015-09-30,42600,375.0
2015-09-30,42900,315.0
2015-09-30,43200,420.0
2015-09-30,43500,405.0
2015-09-30,43800,615.0
2015-09-30,44100,540.0
2015-09-30,44400,360.0
2015-09-30,44700,270.0
2015-09-30,45000,391.525425
2015-09-30,45300,150.0
