day,interval,flow
2015-09-30,0,675.0
2015-09-30,300,675.0
2015-09-30,600,930.0
2015-09-30,900,720.0
2015-09-30,1200,705.0
2015-09-30,1500,900.0
2015-09-30,1800,630.0
2015-09-30,2100,818.7930925
2015-09-30,2400,765.0
2015-09-30,2700,615.0
2015-09-30,3000,810.0
2015-09-30,3300,480.0
2015-09-30,3600,495.0
2015-09-30,3900,735.0
2015-09-30,4200,450.0
2015-09-30,4500,885.0
2015-09-30,4800,585.0
2015-09-30,5100,600.0
2015-09-30,5400,375.0
2015-09-30,5700,465.0
2015-09-30,6000,780.0
2015-09-30,6300,165.0
2015-09-30,6600,480.0
2015-09-30,6900,360.0
2015-09-30,7200,330.0
2015-09-30,7500,495.0
2015-09-30,7800,195.0
2015-09-30,8100,525.0
2015-09-30,8400,240.0
2015-09-30,8700,330.0
2015-09-30,9000,450.0
2015-09-30,9300,270.0
2015-09-30,9600,390.0
2015-09-30,9900,420.0
2015-09-30,10200,270.0
2015-09-30,10500,330.0
2015-09-30,10800,300.0
2015-09-30,11100,405.0
2015-09-30,11400,270.0
2015-09-30,11700,270.0
2015-09-30,12000,330.0
2015-09-30,12300,255.0
2015-09-30,12600,423.1034425
2015-09-30,12900,75.0
2015-09-30,13200,360.0
2015-09-30,13500,225.0
2015-09-30,13800,255.0
2015-09-30,14100,435.0
2015-09-30,14400,390.0
2015-09-30,14700,495.0
2015-09-30,15000,390.0
2015-09-30,15300,324.0
2015-09-30,15600,495.0
2015-09-30,15900,225.0
2015-09-30,16200,330.0
2015-09-30,16500,375.0
2015-09-30,16800,330.0
2015-09-30,17100,285.0
2015-09-30,17400,255.0
2015-09-30,17700,630.0
2015-09-30,18000,240.0
2015-09-30,18300,480.0
2015-09-30,18600,480.0
2015-09-30,18900,315.0
2015-09-30,19200,450.0
2015-09-30,19500,405.0
2015-09-30,19800,450.0
2015-09-30,20100,405.0
2015-09-30,20400,240.0
2015-09-30,20700,660.0
2015-09-30,21000,360.0
2015-09-30,21300,615.0
2015-09-30,21600,435.0
2015-09-30,21900,525.0
2015-09-30,22200,810.0
2015-09-30,22500,525.0
2015-09-30,22800,630.0
2015-09-30,23100,825.0
2015-09-30,23400,495.76271249999996
2015-09-30,23700,510.0
2015-09-30,24000,705.0
2015-09-30,24300,960.0
2015-09-30,24600,885.0
2015-09-30,24900,1000.8619925
2015-09-30,25200,630.0
2015-09-30,25500,540.0
2015-09-30,25800,704.27578
2015-09-30,26100,721.42372
2015-09-30,26400,684.0
2015-09-30,26700,660.0
2015-09-30,27000,990.0
2015-09-30,27300,855.25424
2015-09-30,27600,745.42373
2015-09-30,27900,960.0
2015-09-30,28200,1008.0
2015-09-30,28500,792.0
2015-09-30,28800,936.0
2015-09-30,29100,948.0
2015-09-30,29400,613.01694
2015-09-30,29700,648.0
2015-09-30,30000,892.67799
2015-09-30,30300,696.0
2015-09-30,30600,892.67796
2015-09-30,30900,1164.0
2015-09-30,31200,984.0
2015-09-30,31500,852.0
2015-09-30,31800,1008.0
2015-09-30,32100,876.0
2015-09-30,32400,732.0
2015-09-30,32700,960.0
2015-09-30,33000,799.03448
2015-09-30,33300,744.0
2015-09-30,33600,948.0
2015-09-30,33900,904.0678
2015-09-30,34800,900.0
2015-09-30,35100,732.0
2015-09-30,35400,972.0
2015-09-30,35700,852.0
2015-09-30,36000,756.0
2015-09-30,36300,840.0
2015-09-30,36600,924.0
2015-09-30,36900,636.0
2015-09-30,37200,900.0
2015-09-30,37500,972.0
2015-09-30,37800,792.0
2015-09-30,38100,804.0
2015-09-30,38400,780.0
2015-09-30,38700,645.0
2015-09-30,39000,692.7966125
2015-09-30,39300,765.0
2015-09-30,39600,795.0
2015-09-30,39900,706.7796625000001
2015-09-30,40200,900.0
2015-09-30,40500,768.0
2015-09-30,40800,735.0
2015-09-30,41100,919.3220249999999
2015-09-30,41400,844.3220375000001
2015-09-30,41700,855.0
2015-09-30,42000,645.0
2015-09-30,42300,885.0
2015-09-30,42600,990.0
2015-09-30,42900,750.0
2015-09-30,43200,705.0
2015-09-30,43500,690.0
2015-09-30,43800,915.0
2015-09-30,44100,840.0
2015-09-30,44400,720.0
2015-09-30,44700,855.0
2015-09-30,45000,720.7627
2015-09-30,45300,930.0
2015-09-30,45600,648.0
2015-09-30,45900,600.0
2015-09-30,46200,466.52542500000004
2015-09-30,46500,675.0
2015-09-30,46800,925.2632
2015-09-30,47100,840.0
2015-09-30,47400,870.0
2015-09-30,47700,810.0
2015-09-30,48000,885.0
2015-09-30,48300,810.0
2015-09-30,48600,968.7931000000001
2015-09-30,48900,825.0
2015-09-30,49200,960.0
2015-09-30,49500,855.0
2015-09-30,49800,864.0
2015-09-30,50100,750.0
2015-09-30,50400,795.0
2015-09-30,50700,675.0
2015-09-30,51000,885.0
2015-09-30,51300,853.01694
2015-09-30,51600,795.0
2015-09-30,51900,918.3050999999999
2015-09-30,52200,840.0
2015-09-30,52500,852.0
2015-09-30,52800,873.305075
2015-09-30,53100,825.0
2015-09-30,53400,733.22034
2015-09-30,53700,960.0
2015-09-30,54000,750.0
2015-09-30,54300,735.0
2015-09-30,54600,855.0
2015-09-30,54900,870.0
2015-09-30,55200,870.0
2015-09-30,55500,915.0
2015-09-30,55800,840.0
2015-09-30,56100,720.0
2015-09-30,56400,876.0
2015-09-30,56700,816.0
2015-09-30,57000,690.0
2015-09-30,57300,902.542375
2015-09-30,57600,828.0
2015-09-30,57900,795.0
2015-09-30,58200,912.0
2015-09-30,58500,588.0
2015-09-30,58800,900.0
2015-09-30,59100,1008.0
2015-09-30,59400,660.0
2015-09-30,59700,915.0
2015-09-30,60000,972.0
2015-09-30,60300,888.0
2015-09-30,60600,990.0
2015-09-30,60900,945.0
2015-09-30,61200,792.0
2015-09-30,61500,990.0
2015-09-30,61800,870.0
2015-09-30,62100,1005.0
2015-09-30,62400,874.0677999999999
2015-09-30,62700,815.08475
2015-09-30,63000,1013.7931000000001
2015-09-30,63300,852.0
2015-09-30,63600,855.0
2015-09-30,63900,915.0
2015-09-30,64200,1065.0
2015-09-30,64500,690.0
2015-09-30,64800,912.0
2015-09-30,65100,855.0
2015-09-30,65400,990.0
2015-09-30,65700,825.0
